id_demande	id_service_utilise	volume_accepte
0	0	3
0	0	0
0	0	2
0	0	0
0	0	3
0	0	3
0	0	2
0	0	0
0	0	1
0	0	1
0	0	2
0	0	3
0	0	1
0	0	2
0	0	1
0	0	2
0	0	3
0	0	1
0	0	0
1	0	0
1	0	1
1	0	1
1	0	2
1	0	2
1	0	1
1	0	0
1	0	2
1	0	1
1	0	3
1	0	0
1	0	1
1	0	3
1	0	1
2	0	2
2	0	0
2	0	3
2	0	1
2	0	3
2	0	3
2	0	2
2	0	3
2	0	2
2	0	0
2	0	2
2	0	0
2	0	2
2	0	3
2	0	0
2	0	3
2	0	2
3	0	0
3	0	3
3	0	0
3	0	0
3	0	1
3	0	2
3	0	1
3	0	1
3	0	2
3	0	2
4	0	1
4	0	2
4	0	3
4	0	3
4	0	2
4	0	0
4	0	3
4	0	2
4	0	2
4	0	2
4	0	1
4	0	1
4	0	1
4	0	0
4	0	1
4	0	0
5	0	0
5	0	3
5	0	2
5	0	3
5	0	0
5	0	2
5	0	1
5	0	3
5	0	3
5	0	0
6	0	1
6	0	0
6	0	1
6	0	3
6	0	1
6	0	1
6	0	2
6	0	1
6	0	0
6	0	3
6	0	0
7	0	1
7	0	0
7	0	2
7	0	0
7	0	3
8	0	3
8	0	3
8	0	0
8	0	0
8	0	1
8	0	0
8	0	3
8	0	1
8	0	0
8	0	3
8	0	1
8	0	2
9	0	3
9	0	0
9	0	1
9	0	1
9	0	1
9	0	3
9	0	3
10	0	0
10	0	3
10	0	1
10	0	1
10	0	2
10	0	0
10	0	1
10	0	0
10	0	1
10	0	0
10	0	2
10	0	3
10	0	1
10	0	3
10	1	2
11	1	3
11	1	2
11	1	1
11	1	1
11	1	2
11	1	1
11	1	3
11	1	3
11	1	3
11	1	2
12	1	3
12	1	3
12	1	3
12	1	2
12	1	1
12	1	1
12	1	2
12	0	0
12	0	0
12	0	0
12	1	1
13	1	2
13	0	0
13	1	3
13	0	0
13	0	0
13	1	3
13	1	2
13	1	3
13	1	1
13	1	1
13	1	3
13	0	0
